Feature,Mean SHAP Values 1,Mean SHAP Values 2
mean,0.12468106183009205,0.12310617374318492
mean_sq,0.11181491166480953,0.11433591864451598
kmean_10,0.09205706159973998,0.09163156197578737
gauss,0.07355036408301101,0.06926932678124864
kmean_7,0.06677941516367616,0.06975283554421868
kmean_9,0.06331053251593696,0.06414964196360354
kmean_5,0.050385171809393725,0.04879748683606954
kmean_8,0.03923810192995384,0.03963662739615093
gauss_sq,0.03191662700197085,0.03273085344615421
kmean_4,0.02916630257022799,0.02971950823893677
kmean_3,0.02727427513885662,0.02801774549644733
kmean_6,0.024068895556717727,0.02428624831514402
kmean_2,0.015067468483696209,0.015044591178435157
